arm	round	gop	index	declaredDurationS	segmentBytes	videoPacketCount	unservedForMs	fetchAttempts
2	1	1	688	1.267	391792	30	0	1
2	1	1	689	1.267	406832	30	0	1
2	1	1	690	1.066	379572	30	0	1
2	1	1	691	1.1	370172	30	0	1
2	1	1	692	1.2	372616	30	0	1
2	1	1	693	1.201	383520	30	0	1
2	1	1	695	1.334	396868	30	0	1
2	1	1	696	1	370548	30	0	1
2	1	1	697	1.301	397808	30	0	1
2	1	1	698	1.167	373932	30	0	1
2	1	1	699	1.133	381264	30	0	1
2	1	1	701	1.033	378444	30	0	1
2	1	1	703	1.267	364344	30	0	1
2	1	1	704	1.233	392732	30	0	1
2	1	1	706	1.333	382580	30	0	1
2	1	1	707	1.266	381640	30	0	1
2	1	1	708	1.233	366788	30	0	1
2	1	1	709	1.201	388784	30	0	1
2	1	1	710	1.234	387092	30	0	1
2	1	1	711	1.233	389536	30	0	1
2	1	1	712	1.268	375812	30	0	1
2	1	1	713	1.166	367916	30	0	1
2	1	1	715	1.067	380700	30	0	1
2	1	1	716	1.2	391792	30	0	1
2	1	1	717	1.066	366976	30	0	1
2	1	1	718	1.067	364156	30	0	1
2	1	1	719	1.1	370736	30	0	1
2	1	1	720	1.1	379760	30	0	1
