arm	mode	kind	code	ms
a02-8-spread	spread	hit	200	4
a02-8-spread	spread	miss	404	424
a02-8-spread	spread	hit	200	19
a02-8-spread	spread	miss	404	128
a02-8-spread	spread	hit	200	20
a02-8-spread	spread	miss	404	549
a02-8-spread	spread	hit	200	32
a02-8-spread	spread	miss	404	436
a02-8-spread	spread	hit	200	11
a02-8-spread	spread	miss	404	445
a02-8-spread	spread	hit	200	4
a02-8-spread	spread	miss	404	506
a02-8-spread	spread	hit	200	8
a02-8-spread	spread	miss	404	482
a02-8-spread	spread	hit	200	10
a02-8-spread	spread	miss	404	393
a02-8-spread	spread	hit	200	12
a02-8-spread	spread	miss	404	511
a02-8-spread	spread	hit	200	5
a02-8-spread	spread	miss	404	731
a02-8-spread	spread	hit	200	26
a02-8-spread	spread	miss	404	413
a02-8-spread	spread	hit	200	15
a02-8-spread	spread	miss	404	539
a02-8-spread	spread	hit	200	26
a02-8-spread	spread	miss	404	202
a02-8-spread	spread	hit	200	32
a02-8-spread	spread	miss	404	456
a02-8-spread	spread	hit	200	28
a02-8-spread	spread	miss	404	408
a02-8-spread	spread	hit	200	6
a02-8-spread	spread	miss	404	393
a02-8-spread	spread	hit	200	4
a02-8-spread	spread	miss	404	431
a02-8-spread	spread	hit	200	5
a02-8-spread	spread	miss	404	484
a02-8-spread	spread	hit	200	12
a02-8-spread	spread	miss	404	423
a02-8-spread	spread	hit	200	16
a02-8-spread	spread	miss	404	447
a02-8-spread	spread	hit	200	29
a02-8-spread	spread	miss	404	557
a02-8-spread	spread	hit	200	10
a02-8-spread	spread	miss	404	484
a02-8-spread	spread	hit	200	9
a02-8-spread	spread	miss	404	486
a02-8-spread	spread	hit	200	10
a02-8-spread	spread	miss	404	494
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	395
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	508
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	341
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	515
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	383
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	417
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	405
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	447
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	368
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	414
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	425
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	399
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	410
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	396
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	462
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	386
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	537
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	412
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	328
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	127
a03-8-same	same	hit	200	1
a03-8-same	same	miss	404	465
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	435
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	265
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	244
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	441
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	352
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	361
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	139
a03-8-same	same	hit	200	2
a03-8-same	same	miss	404	409
a03-8-same	same	hit	200	1
